Name,Type,MainMuscle,SecondaryMuscles,Equipment,MechanicsType,Level,Sport,Force
Behind Head Chest Stretch,Stretching,Chest, Shoulders,Other,Isolation,Expert,No,Static
Bench Jump,Strength,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Intermediate,No,Push
Bench Press - With Bands,Strength,Chest, Shoulders Triceps,Bands,Compound,Beginner,No,Push
Bench Sprint,Strength,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Bent Over Dumbbell Rear Delt Raise With Head On Bench,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Pull
Bent Over One-Arm Long Bar Row,Strength,MiddleBack, Biceps Lats LowerBack Traps,Barbell,Compound,Beginner,No,Pull
Bent Over Two-Dumbbell Row,Strength,MiddleBack, Biceps Lats Shoulders,Dumbbell,Compound,Beginner,No,Pull
Bent Press,Strength,Abdominals, Glutes Hamstrings LowerBack Quadriceps Shoulders Triceps,Kettlebells,Compound,Expert,No,Pull
Bent-Arm Dumbbell Pullover,Strength,Chest, Lats Shoulders Triceps,Dumbbell,Compound,Intermediate,No,Push
Bicycling,Cardio,Quadriceps, Calves Glutes Hamstrings,Other,N/A,Beginner,Outdoor,Yes
Board Press,Powerlifting,Triceps, Chest Forearms Lats Shoulders,Barbell,Compound,Intermediate,No,Push
Body-Up,Strength,Triceps, Abdominals Forearms,BodyOnly,Isolation,Intermediate,No,Push
Bodyweight Mid Row,Strength,MiddleBack, Biceps Lats,Other,Compound,Intermediate,No,Pull
Bodyweight Walking Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
Bottoms Up,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Box Jump (Multiple Response),Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
Box Squat,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Box Squat with Chains,Strength,Quadriceps, Abductors Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Bradford/Rocky Presses,Strength,Shoulders, Triceps,Barbell,Compound,Beginner,No,Push
Butt-Ups,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Cable Chest Press,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
Cable Crunch,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Cable Hammer Curls - Rope Attachment,Strength,Biceps,0,Cable,Isolation,Beginner,No,Pull
Cable Incline Pushdown,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
Cable Internal Rotation,Strength,Shoulders,0,Cable,Compound,Beginner,No,Pull
Cable Judo Flip,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
Cable One Arm Tricep Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Rear Delt Fly,Strength,Shoulders,0,Cable,Isolation,Beginner,No,Pull
Cable Rope Overhead Triceps Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Russian Twists,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
Cable Seated Lateral Raise,Strength,Shoulders, MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
Cable Shrugs,Strength,Traps,0,Cable,Isolation,Beginner,No,Pull
Cable Wrist Curl,Strength,Forearms,0,Cable,Isolation,Beginner,No,Pull
Calf Press On The Leg Press Machine,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Calf Raises - With Bands,Strength,Calves,0,Bands,Isolation,Beginner,No,Push
Calf Stretch Hands Against Wall,Stretching,Calves,0,None,Isolation,Beginner,No,Static
Calves-SMR,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
Car Drivers,Strength,Shoulders, Forearms,Other,Isolation,Beginner,No,Push
Cat Stretch,Stretching,LowerBack, MiddleBack Traps,None,N/A,Beginner,No,Static
Chain Handle Extension,Powerlifting,Triceps,0,Other,Isolation,Intermediate,No,Push
Chair Leg Extended Stretch,Stretching,Hamstrings, Adductors,Other,Isolation,Beginner,No,Static
Chair Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Chest And Front Of Shoulder Stretch,Stretching,Chest, Shoulders,Other,Isolation,Beginner,No,Static
Chest Push (single response),Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
Chest Push with Run Release,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
'Child''s Pose',Stretching,LowerBack, Glutes MiddleBack,None,N/A,Beginner,No,Static
Chin-Up,Strength,Lats, Biceps Forearms MiddleBack,BodyOnly,Compound,Beginner,No,Pull
Clean,OlympicWeightlifting,Hamstrings, Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Clean and Press,Strength,Shoulders, Abdominals Calves Glutes Hamstrings LowerBack MiddleBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Push
Clean from Blocks,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Clean Shrug,OlympicWeightlifting,Traps, Forearms Shoulders,Barbell,Compound,Beginner,No,Pull
Close-Grip Barbell Bench Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Beginner,No,Push
Close-Grip EZ Bar Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
Close-Grip EZ-Bar Press,Strength,Triceps, Chest Shoulders,E-ZCurlBar,Compound,Beginner,No,Push
Close-Grip Push-Up off of a Dumbbell,Strength,Triceps, Abdominals Chest Shoulders,BodyOnly,Compound,Intermediate,No,Push
Cocoons,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Concentration Curls,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Cross Over - With Bands,Strength,Chest, Biceps Shoulders,Bands,Compound,Beginner,No,Push
Crossover Reverse Lunge,Stretching,LowerBack, Abdominals Abductors Glutes Hamstrings Quadriceps,None,N/A,Intermediate,No,Pull
Crunch - Hands Overhead,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Crunches,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Cable Crossover,Strength,Chest, Shoulders,Cable,Isolation,Beginner,No,Push
Cable Deadlifts,Strength,Quadriceps, Forearms Glutes Hamstrings LowerBack,Cable,Compound,Beginner,No,Pull
Cable Hip Adduction,Strength,Quadriceps,0,Cable,Isolation,Beginner,No,Pull
Cable Incline Triceps Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Iron Cross,Strength,Chest,0,Cable,Isolation,Beginner,No,Push
Cable Lying Triceps Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Preacher Curl,Strength,Biceps, Forearms,Cable,Isolation,Beginner,No,Pull
Cable Reverse Crunch,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Cable Rope Rear-Delt Rows,Strength,Shoulders, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
Cable Seated Crunch,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Cable Shoulder Press,Strength,Shoulders, Triceps,Cable,Compound,Beginner,No,Push
Cable Tuck Reverse Crunch,Strength,Abdominals,0,Compound,Beginner,No,Pull,
Calf Press,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Calf Raise On A Dumbbell,Strength,Calves,0,Dumbbell,Isolation,Intermediate,No,Push
Calf Stretch Elbows Against Wall,Stretching,Calves,0,None,Isolation,Beginner,No,Static
Calf-Machine Shoulder Shrug,Strength,Traps,0,Machine,Isolation,Beginner,No,Pull
Car Deadlift,Strongman,Quadriceps, Forearms Glutes Hamstrings LowerBack Traps,Other,Compound,Intermediate,Yes,Pull
Carioca Quick Step,Plyometrics,Adductors, Abdominals Abductors Calves Glutes Hamstrings Quadriceps,None,N/A,Beginner,No,N/A
Catch and Overhead Throw,Plyometrics,Lats, Abdominals Chest Shoulders,MedicineBall,Compound,Beginner,No,Push
Chain Press,Powerlifting,Chest, Shoulders Triceps,Other,Compound,Intermediate,No,Push
Chair Lower Back Stretch,Stretching,Lats, LowerBack,None,Isolation,Beginner,No,Static
Chair Upper Body Stretch,Stretching,Shoulders, Biceps Chest,Other,N/A,Beginner,No,Static
Chest Push (multiple response),Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
Chest Push from 3 point stance,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
Chest Stretch on Stability Ball,Stretching,Chest,0,ExerciseBall,Isolation,Beginner,No,Static
Chin To Chest Stretch,Stretching,Neck, Traps,None,N/A,Beginner,No,Static
Circus Bell,Strongman,Shoulders, Forearms Glutes Hamstrings LowerBack Traps Triceps,Other,Compound,Expert,Yes,Push
Clean and Jerk,OlympicWeightlifting,Shoulders, Abdominals Glutes Hamstrings LowerBack Quadriceps Traps Triceps,Barbell,Compound,Expert,Yes,Push
Clean Deadlift,OlympicWeightlifting,Hamstrings, Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Beginner,No,Pull
Clean Pull,OlympicWeightlifting,Quadriceps, Forearms Glutes Hamstrings LowerBack Traps,Barbell,Compound,Intermediate,No,Pull
Clock Push-Up,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Intermediate,No,Push
Close-Grip Dumbbell Press,Strength,Triceps, Chest Shoulders,Dumbbell,Compound,Beginner,No,Push
Close-Grip EZ-Bar Curl with Band,Strength,Biceps, Forearms,E-ZCurlBar,Isolation,Beginner,No,Pull
Close-Grip Front Lat Pulldown,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Beginner,No,Pull
Close-Grip Standing Barbell Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
'Conan''s Wheel',Strongman,Quadriceps, Abdominals Biceps Calves Forearms LowerBack Shoulders Traps,Other,Compound,Intermediate,Yes,N/A
Cross Body Hammer Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Cross-Body Crunch,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Crucifix,Strongman,Shoulders, Forearms,Other,Isolation,Beginner,Yes,Static
Crunch - Legs On Exercise Ball,Strength,Abdominals,0,ExerciseBall,Isolation,Beginner,No,Pull
Cuban Press,Strength,Shoulders, Traps,Dumbbell,Compound,Intermediate,No,Push
'Dancer''s Stretch',Stretching,LowerBack, Abductors Glutes,None,N/A,Beginner,No,Static
Deadlift with Chains,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
Decline Close-Grip Bench To Skull Crusher,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Decline Dumbbell Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Decline Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Decline Oblique Crunch,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Decline Reverse Crunch,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Deficit Deadlift,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Dip Machine,Strength,Triceps, Chest Shoulders,Machine,Compound,Beginner,No,Push
Dips - Triceps Version,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
Double Kettlebell Alternating Hang Clean,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
Double Kettlebell Push Press,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Double Kettlebell Windmill,Strength,Abdominals, Glutes Hamstrings Shoulders Triceps,Kettlebells,N/A,Intermediate,No,Pull
Downward Facing Balance,Strength,Glutes, Abdominals Hamstrings,ExerciseBall,Isolation,Intermediate,No,Static
Drop Push,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Intermediate,No,Push
Dumbbell Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Dumbbell Bicep Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Floor Press,Powerlifting,Triceps, Chest Shoulders,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Incline Row,Strength,MiddleBack, Biceps Forearms Lats Shoulders,Dumbbell,Compound,Beginner,No,Pull
Dumbbell Lunges,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
Dumbbell Lying Pronation,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell Lying Supination,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell One-Arm Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Intermediate,No,Push
Dumbbell Prone Incline Curl,Strength,Biceps,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell Rear Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Seated Box Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Compound,Intermediate,No,Push,
Dumbbell Shoulder Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Side Bend,Strength,Abdominals,0,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Squat To A Bench,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Tricep Extension -Pronated Grip,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Dynamic Chest Stretch,Stretching,Chest, MiddleBack,None,N/A,Beginner,No,Pull
Deadlift with Bands,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
Decline Barbell Bench Press,Strength,Chest, Shoulders Triceps,Barbell,Compound,Beginner,No,Push
Decline Crunch,Strength,Abdominals,0,BodyOnly,Isolation,Intermediate,No,Pull
Decline Dumbbell Flyes,Strength,Chest,0,Dumbbell,Compound,Beginner,No,Push
Decline EZ Bar Triceps Extension,Strength,Triceps,0,Barbell,Isolation,Beginner,No,Push
Decline Push-Up,Strength,Chest, Shoulders Triceps,None,Compound,Beginner,No,Push
Decline Smith Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Depth Jump Leap,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Dips - Chest Version,Strength,Chest, Shoulders Triceps,Other,Compound,Intermediate,No,Push
Donkey Calf Raises,Strength,Calves,0,Other,Isolation,Intermediate,No,Push
Double Kettlebell Jerk,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Double Kettlebell Snatch,Strength,Shoulders, Glutes Hamstrings Quadriceps,Kettlebells,Compound,Expert,No,Pull
Double Leg Butt Kick,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Drag Curl,Strength,Biceps, Forearms,Barbell,Compound,Intermediate,No,Pull
Dumbbell Alternate Bicep Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Bench Press with Neutral Grip,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Dumbbell Clean,Strength,Hamstrings, Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Dumbbell,Compound,Intermediate,No,Pull
Dumbbell Flyes,Strength,Chest,0,Dumbbell,Isolation,Beginner,No,Push
Dumbbell Incline Shoulder Raise,Strength,Shoulders, Triceps,Dumbbell,Isolation,Beginner,No,Push
Dumbbell Lying One-Arm Rear Lateral Raise,Strength,Shoulders, MiddleBack,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell Lying Rear Lateral Raise,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell One-Arm Shoulder Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Dumbbell One-Arm Upright Row,Strength,Shoulders, Biceps Traps,Dumbbell,Compound,Intermediate,No,Pull
Dumbbell Raise,Strength,Shoulders, Biceps,Dumbbell,Compound,Beginner,No,Pull
Dumbbell Scaption,Strength,Shoulders, Traps,Dumbbell,Isolation,Beginner,No,Push
Dumbbell Seated One-Leg Calf Raise,Strength,Calves,0,Dumbbell,Isolation,Beginner,No,Push
Dumbbell Shrug,Strength,Traps,0,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Dumbbell,Compound,Beginner,No,Push
Dumbbell Step Ups,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Intermediate,No,Push
Dynamic Back Stretch,Stretching,Lats,0,None,N/A,Beginner,No,Pull
Elbow Circles,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Pull
Elbows Back,Stretching,Chest, Shoulders,None,Isolation,Beginner,No,Static
Elevated Cable Rows,Strength,Lats, MiddleBack Traps,Cable,Compound,Intermediate,No,Pull
Exercise Ball Crunch,Strength,Abdominals,0,ExerciseBall,Isolation,Beginner,No,Pull
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Beginner,No,Push
External Rotation with Band,Strength,Shoulders,0,Bands,Compound,Beginner,No,Pull
EZ-Bar Curl,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
Elbow to Knee,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Elevated Back Lunge,Strength,Quadriceps, Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Elliptical Trainer,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Intermediate,Indoor,No
Exercise Ball Pull-In,Strength,Abdominals,0,ExerciseBall,Compound,Beginner,No,Pull
External Rotation,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Pull
External Rotation with Cable,Strength,Shoulders,0,Cable,Isolation,Beginner,No,Pull
EZ-Bar Skullcrusher,Strength,Triceps, Forearms,E-ZCurlBar,Isolation,Beginner,No,Push
